investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
INV003054,01-01-2024,119092.0,SIP,1834.0,Telangana,Hyderabad,T30,56+,Female,77.1,UPI,Verified
INV002952,01-01-2024,148567.0,Redemption,392882.0,Punjab,Amritsar,B30,18-25,Male,7.1,Cheque,Verified
INV003420,01-01-2024,118636.0,SIP,912.0,Haryana,Faridabad,B30,36-45,Male,47.2,Mandate,Verified
INV003436,01-01-2024,118634.0,SIP,1102.0,Maharashtra,Mumbai,T30,36-45,Female,54.4,Cheque,Pending
INV004691,01-01-2024,119094.0,Lumpsum,8682.0,Delhi,Noida,T30,26-35,Male,14.5,Net Banking,Pending
INV001497,01-01-2024,101208.0,SIP,3295.0,Maharashtra,Mumbai,T30,36-45,Male,56.8,Mandate,Verified
INV000786,01-01-2024,101208.0,SIP,15047.0,Madhya Pradesh,Bhopal,B30,26-35,Male,17.9,Mandate,Verified
INV000616,01-01-2024,100016.0,SIP,933.0,Maharashtra,Nashik,B30,36-45,Male,50.4,Mandate,Verified
INV003670,01-01-2024,119120.0,SIP,10672.0,Punjab,Chandigarh,T30,36-45,Male,38.4,Net Banking,Verified
INV002054,01-01-2024,148567.0,SIP,1111.0,Telangana,Hyderabad,T30,26-35,Male,17.8,Net Banking,Verified
INV002592,01-01-2024,101208.0,Lumpsum,411860.0,Madhya Pradesh,Bhopal,B30,26-35,Female,15.7,Mandate,Verified
INV001023,01-01-2024,118636.0,SIP,4865.0,Gujarat,Ahmedabad,T30,36-45,Male,27.1,Net Banking,Verified
INV002893,01-01-2024,120843.0,SIP,8472.0,Telangana,Hyderabad,T30,56+,Male,69.4,UPI,Pending
INV000797,01-01-2024,102885.0,SIP,58257.0,Rajasthan,Jaipur,T30,36-45,Female,53.7,Net Banking,Verified
INV000368,01-01-2024,118636.0,Redemption,339882.0,Uttar Pradesh,Agra,B30,26-35,Male,16.2,UPI,Verified
INV000548,01-01-2024,119095.0,SIP,1607.0,Karnataka,Mysore,B30,36-45,Male,53.2,Cheque,Verified
INV000600,01-01-2024,149322.0,SIP,20890.0,Maharashtra,Mumbai,T30,26-35,Male,17.3,Net Banking,Verified
INV004347,01-01-2024,119599.0,SIP,1862.0,West Bengal,Kolkata,T30,36-45,Male,20.5,Net Banking,Verified
INV000437,01-01-2024,120504.0,SIP,900.0,Telangana,Hyderabad,T30,26-35,Female,6.1,UPI,Verified
INV000609,01-01-2024,120842.0,SIP,8493.0,Tamil Nadu,Coimbatore,B30,18-25,Male,3.9,Mandate,Verified
INV000428,01-01-2024,118636.0,SIP,9146.0,Delhi,Gurugram,T30,36-45,Male,27.2,Mandate,Verified
INV003329,01-01-2024,101207.0,Lumpsum,295055.0,Madhya Pradesh,Indore,T30,56+,Male,25.2,Mandate,Verified
INV000968,01-01-2024,100025.0,Lumpsum,497564.0,Tamil Nadu,Chennai,T30,36-45,Female,37.1,UPI,Verified
INV004154,01-01-2024,102885.0,SIP,1897.0,Karnataka,Mysore,B30,18-25,Male,4.7,Net Banking,Verified
INV000234,01-01-2024,148567.0,SIP,28094.0,Tamil Nadu,Coimbatore,B30,26-35,Male,23.8,Mandate,Verified
INV002885,01-01-2024,148567.0,Lumpsum,430566.0,Delhi,Gurugram,T30,26-35,Male,23.4,Cheque,Pending
