investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
INV003054,2024-01-01,119092.0,Sip,1834.0,Telangana,Hyderabad,T30,56+,Female,77.1,UPI,Verified
INV002952,2024-01-01,148567.0,Redemption,392882.0,Punjab,Amritsar,B30,18-25,Male,7.1,Cheque,Verified
INV003420,2024-01-01,118636.0,Sip,912.0,Haryana,Faridabad,B30,36-45,Male,47.2,Mandate,Verified
INV003436,2024-01-01,118634.0,Sip,1102.0,Maharashtra,Mumbai,T30,36-45,Female,54.4,Cheque,Pending
INV004691,2024-01-01,119094.0,Lumpsum,8682.0,Delhi,Noida,T30,26-35,Male,14.5,Net Banking,Pending
INV001497,2024-01-01,101208.0,Sip,3295.0,Maharashtra,Mumbai,T30,36-45,Male,56.8,Mandate,Verified
INV000786,2024-01-01,101208.0,Sip,15047.0,Madhya Pradesh,Bhopal,B30,26-35,Male,17.9,Mandate,Verified
INV000616,2024-01-01,100016.0,Sip,933.0,Maharashtra,Nashik,B30,36-45,Male,50.4,Mandate,Verified
INV003670,2024-01-01,119120.0,Sip,10672.0,Punjab,Chandigarh,T30,36-45,Male,38.4,Net Banking,Verified
INV002054,2024-01-01,148567.0,Sip,1111.0,Telangana,Hyderabad,T30,26-35,Male,17.8,Net Banking,Verified
INV002592,2024-01-01,101208.0,Lumpsum,411860.0,Madhya Pradesh,Bhopal,B30,26-35,Female,15.7,Mandate,Verified
INV001023,2024-01-01,118636.0,Sip,4865.0,Gujarat,Ahmedabad,T30,36-45,Male,27.1,Net Banking,Verified
INV002893,2024-01-01,120843.0,Sip,8472.0,Telangana,Hyderabad,T30,56+,Male,69.4,UPI,Pending
INV000797,2024-01-01,102885.0,Sip,58257.0,Rajasthan,Jaipur,T30,36-45,Female,53.7,Net Banking,Verified
INV000368,2024-01-01,118636.0,Redemption,339882.0,Uttar Pradesh,Agra,B30,26-35,Male,16.2,UPI,Verified
INV000548,2024-01-01,119095.0,Sip,1607.0,Karnataka,Mysore,B30,36-45,Male,53.2,Cheque,Verified
INV000600,2024-01-01,149322.0,Sip,20890.0,Maharashtra,Mumbai,T30,26-35,Male,17.3,Net Banking,Verified
INV004347,2024-01-01,119599.0,Sip,1862.0,West Bengal,Kolkata,T30,36-45,Male,20.5,Net Banking,Verified
INV000437,2024-01-01,120504.0,Sip,900.0,Telangana,Hyderabad,T30,26-35,Female,6.1,UPI,Verified
INV000609,2024-01-01,120842.0,Sip,8493.0,Tamil Nadu,Coimbatore,B30,18-25,Male,3.9,Mandate,Verified
INV000428,2024-01-01,118636.0,Sip,9146.0,Delhi,Gurugram,T30,36-45,Male,27.2,Mandate,Verified
INV003329,2024-01-01,101207.0,Lumpsum,295055.0,Madhya Pradesh,Indore,T30,56+,Male,25.2,Mandate,Verified
INV000968,2024-01-01,100025.0,Lumpsum,497564.0,Tamil Nadu,Chennai,T30,36-45,Female,37.1,UPI,Verified
INV004154,2024-01-01,102885.0,Sip,1897.0,Karnataka,Mysore,B30,18-25,Male,4.7,Net Banking,Verified
INV000234,2024-01-01,148567.0,Sip,28094.0,Tamil Nadu,Coimbatore,B30,26-35,Male,23.8,Mandate,Verified
INV002885,2024-01-01,148567.0,Lumpsum,430566.0,Delhi,Gurugram,T30,26-35,Male,23.4,Cheque,Pending
INV002157,2024-01-01,102885.0,Lumpsum,112928.0,Punjab,Chandigarh,T30,26-35,Male,16.9,Mandate,Verified
INV001665,2024-01-01,120505.0,Sip,3322.0,Telangana,Hyderabad,T30,36-45,Male,35.1,Mandate,Verified
INV002328,2024-01-01,120841.0,Sip,29901.0,Haryana,Gurugram,T30,26-35,Male,11.6,Cheque,Verified
INV004174,2024-01-01,119599.0,Sip,57353.0,Rajasthan,Udaipur,B30,18-25,Male,4.7,Mandate,Verified
INV004918,2024-01-01,120503.0,Redemption,153828.0,Punjab,Amritsar,B30,56+,Female,46.9,UPI,Verified
INV000478,2024-01-01,120506.0,Sip,59382.0,Gujarat,Surat,T30,36-45,Female,16.5,UPI,Verified
INV000467,2024-01-01,119552.0,Sip,2623.0,Karnataka,Bangalore,T30,18-25,Female,7.1,Cheque,Verified
INV000603,2024-01-01,118636.0,Sip,2858.0,West Bengal,Kolkata,T30,26-35,Male,17.3,Mandate,Verified
INV004770,2024-01-01,102886.0,Lumpsum,92031.0,Gujarat,Surat,T30,18-25,Female,5.2,Mandate,Verified
INV004648,2024-01-01,118634.0,Sip,17860.0,Maharashtra,Pune,T30,36-45,Male,54.3,Mandate,Pending
INV002432,2024-01-01,101208.0,Sip,3513.0,Haryana,Gurugram,T30,46-55,Female,48.1,Net Banking,Verified
INV002338,2024-01-01,120844.0,Lumpsum,292991.0,Delhi,New Delhi,T30,26-35,Male,23.6,UPI,Verified
INV001041,2024-01-01,101208.0,Sip,8547.0,Madhya Pradesh,Bhopal,B30,18-25,Male,5.1,Cheque,Verified
INV001400,2024-01-01,148567.0,Sip,10696.0,Tamil Nadu,Coimbatore,B30,36-45,Male,36.5,Mandate,Verified
INV000852,2024-01-01,101208.0,Sip,15916.0,Maharashtra,Nashik,B30,26-35,Female,18.1,UPI,Verified
