amfi_code,cagr,sharpe_ratio,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,dd_rank,fund_score
100016.0,0.026352458116335464,-0.20151706755966936,0.03747580763443281,-0.0582684314388089,-0.24734440880673303,0.1,0.15,0.05,0.85,16.25
100025.0,0.04455091155784441,-0.5670947928476846,0.042817920315060876,0.0011582183155281463,-0.04308263824636349,0.125,0.05,0.075,0.1,7.5
100033.0,0.30099703552874524,1.093698743534631,0.2719535450128533,0.0051035258305283104,-0.16217208574644848,0.85,0.85,0.875,0.5,69.25
101206.0,0.23520488754230384,1.0272133278753695,0.21399784776051212,0.02108631625012803,-0.11291596329323073,0.725,0.8,0.725,0.225,58.5
101207.0,0.07933120999915699,0.16266076928646772,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,0.35,0.325,0.35,0.95,35.125
101208.0,0.06504429821332125,-0.8155673679088263,0.060861457957871144,0.00026670968338238433,-0.0016224980244717857,0.225,0.025,0.2,0.075,12.125
102885.0,0.18218826089343754,0.8170993373494367,0.17048756803412696,-0.019486785689474526,-0.1085986215250232,0.575,0.625,0.55,0.175,45.625
102886.0,0.0117093879842316,-0.20583160785470309,0.028969397866379445,-0.04212502902189432,-0.2800112356639287,0.025,0.125,0.025,0.875,13.125
102887.0,0.16828673461948984,0.6195175900829828,0.16211256794033255,0.016682689437770827,-0.21539827112383225,0.525,0.475,0.5,0.75,45.125
118632.0,0.2403119561352478,1.0816591793457042,0.21829397904608644,-0.008353832126962021,-0.17414075086657232,0.75,0.825,0.75,0.575,63.875
118633.0,0.16262218000296524,0.6452074382933215,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,0.475,0.5,0.475,0.65,42.75
118634.0,0.16361396476593382,0.44843400890899127,0.1750072167561127,0.1034966369133759,-0.2334488614483311,0.5,0.375,0.575,0.8,43.875
118635.0,0.15945481185082522,0.664856998549062,0.1513635464823924,-0.001433521389780133,-0.1165062450540909,0.45,0.55,0.45,0.25,38.75
118636.0,0.053131554027608274,-0.35662950751436784,0.05074772999976104,0.0012566742731558458,-0.08316361763638702,0.15,0.075,0.15,0.15,10.875
